Job Title,Company Name,Location,Required Skills,Post Date and Time,More Info
Pre- School Grade Teacher- Few,NULL,"Ravibhawan- 14, Kathmandu",NULL,"March 31, 2021, noon",https://merojob.com/pre-school-grade-teacher-few/
Primary Grade Teacher- Few,NULL,"Ravibhawan- 14, Kathmandu",NULL,"March 31, 2021, noon",https://merojob.com/primary-grade-teacher-few-2/
Middle / Secondary English Teac…,NULL,"Ravibhawan- 14, Kathmandu",NULL,"March 31, 2021, noon",https://merojob.com/middle-secondary-english-teacher/
Middle / Secondary Math Teacher,NULL,"Ravibhawan- 14, Kathmandu",NULL,"March 31, 2021, noon",https://merojob.com/middle-secondary-math-teacher/
Middle/ Secondary Science Teach…,NULL,"Ravibhawan- 14, Kathmandu",NULL,"March 31, 2021, noon",https://merojob.com/middle-secondary-science-teacher/
Middle/ Secondary Computer Teac…,NULL,"Ravibhawan- 14, Kathmandu",NULL,"March 31, 2021, noon",https://merojob.com/middle-secondary-computer-teacher/
Nepali cum Sanskrit Teacher,NULL,"Ravibhawan- 14, Kathmandu",NULL,"March 31, 2021, noon",https://merojob.com/nepali-cum-sanskrit-teacher/
Art Teacher (Fine Art),NULL,"Ravibhawan- 14, Kathmandu",NULL,"March 31, 2021, noon",https://merojob.com/art-teacher-fine-art/
Senior Project Officer,NULL,"Rajapur, Nepal",NULL,"April 7, 2021, noon",https://merojob.com/senior-project-officer-6/
Principal,NULL,"Sanepa- 2, Lalitpur",NULL,"March 31, 2021, noon",https://merojob.com/principal-92/
Vice Principal,NULL,"Sanepa- 2, Lalitpur",NULL,"March 31, 2021, noon",https://merojob.com/vice-principal-73/
Information Security Officer (I…,NULL,"Dillibazar, Kathmandu",NULL,"April 7, 2021, noon",https://merojob.com/information-security-officer-iso/
Programmer/ Application Develop…,NULL,"Dillibazar, Kathmandu",NULL,"April 7, 2021, noon",https://merojob.com/programmer-application-developer/
Electrical Engineer,NULL,NULL,NULL,"April 9, 2021, noon",https://merojob.com/electrical-engineer-123/
Software Engineer,NULL,"Lalitpur, Nepal",NULL,"April 9, 2021, noon",https://merojob.com/software-engineer-119/
Civil Engineer,NULL,"Lalitpur, Nepal",NULL,"April 9, 2021, noon",https://merojob.com/civil-engineer-478/
Project Manager,NULL,"Lalitpur, Nepal",NULL,"April 9, 2021, noon",https://merojob.com/project-manager-419/
Project Coordinator,NULL,"Lalitpur, Nepal",NULL,"April 9, 2021, noon",https://merojob.com/project-coordinator-209/
HR/ Admin Officer,NULL,"Lalitpur, Nepal",NULL,"April 9, 2021, noon",https://merojob.com/hr-admin-officer-21/
Food & Beverage Service Faculty,NULL,NULL,NULL,"March 31, 2021, noon",https://merojob.com/food-beverage-service-faculty/
Food Production Faculty,NULL,NULL,NULL,"March 31, 2021, noon",https://merojob.com/food-production-faculty-2/
Professor,NULL,Lalitpur,NULL,"April 6, 2021, noon",https://merojob.com/professor-18/
Assistant Professor,NULL,Lalitpur,NULL,"April 6, 2021, noon",https://merojob.com/assistant-professor-36/
Ophthalmic Assistant,NULL,Lalitpur,NULL,"April 6, 2021, noon",https://merojob.com/ophthalmic-assistant-18/
Research Nurse,NULL,Lalitpur,NULL,"April 6, 2021, noon",https://merojob.com/research-nurse/
СМА,NULL,Lalitpur,NULL,"April 6, 2021, noon",https://merojob.com/-4024/
Grade Teacher,NULL,"Gairidhara, Kathmandu",NULL,"March 31, 2021, noon",https://merojob.com/grade-teacher-96/
Secondary Level Maths Teacher,NULL,"Gairidhara, Kathmandu",NULL,"March 31, 2021, noon",https://merojob.com/secondary-level-maths-teacher-6/
Computer Teacher,NULL,"Gairidhara, Kathmandu",NULL,"March 31, 2021, noon",https://merojob.com/computer-teacher-76/
Nepali Teacher,NULL,"Gairidhara, Kathmandu",NULL,"March 31, 2021, noon",https://merojob.com/nepali-teacher-34/
English Teacher,NULL,"Gairidhara, Kathmandu",NULL,"March 31, 2021, noon",https://merojob.com/english-teacher-120/
Receptionist,NULL,"Gairidhara, Kathmandu",NULL,"March 31, 2021, noon",https://merojob.com/receptionist-1414/
Accountant,NULL,"सकेधारा, काठमाडौं, नेपाल",NULL,"March 31, 2021, noon",https://merojob.com/accountant-2077/
Receptionist,NULL,"सकेधारा, काठमाडौं, नेपाल,",NULL,"March 31, 2021, noon",https://merojob.com/receptionist-1413/
क्लिनिकल रजिष्ट्रार,NULL,"महाराजगञ्ज, काठमाण्डौ",NULL,"April 9, 2021, noon",https://merojob.com/-4023/
एडिटर,NULL,"Bagh Durbar, Kathmandu",NULL,"April 2, 2021, noon",https://merojob.com/-4018/
कोअर्डिनेटर,NULL,"Bagh Durbar, Kathmandu",NULL,"April 2, 2021, noon",https://merojob.com/-4019/
डेक्स,NULL,"Bagh Durbar, Kathmandu",NULL,"April 2, 2021, noon",https://merojob.com/-4020/
वरिष्ठ रिपोर्टर,NULL,"Bagh Durbar, Kathmandu",NULL,"April 2, 2021, noon",https://merojob.com/-4021/
जुनियर रिपोर्टर,NULL,"Bagh Durbar, Kathmandu",NULL,"April 2, 2021, noon",https://merojob.com/-4022/
Extended Term Consultant,NULL,Kathmandu,NULL,"April 5, 2021, noon",https://merojob.com/extended-term-consultant/
Chief Executive Officer (CEO),NULL,"Kathmandu & Dhangadhi, Kailali",NULL,"April 9, 2021, noon",https://merojob.com/chief-executive-officer-ceo-39/
कर्जा अधिकृत,NULL,"असन, काठमाडौं",NULL,"April 2, 2021, noon",https://merojob.com/-4012/
बजार अधिकृत,NULL,"असन, काठमाडौं",NULL,"April 2, 2021, noon",https://merojob.com/-4013/
जनसम्पर्क अधिकृत,NULL,"असन, काठमाडौं",NULL,"April 2, 2021, noon",https://merojob.com/-4014/
क्यासियर,NULL,"असन, काठमाडौं",NULL,"April 2, 2021, noon",https://merojob.com/-4015/
रिसेप्सनिष्ट,NULL,"असन, काठमाडौं",NULL,"April 2, 2021, noon",https://merojob.com/-4016/
बजार प्रतिनिधि,NULL,"असन, काठमाडौं",NULL,"April 2, 2021, noon",https://merojob.com/-4017/
Jr. Research Assistant,NULL,Butwal,NULL,"March 31, 2021, noon",https://merojob.com/jr-research-assistant/
"English, Science & Nepali Teach…",NULL,Saptari,NULL,"April 21, 2021, noon",https://merojob.com/english-science-nepali-teacher-basic-level/
English & Computer Teachers (Ba…,NULL,Kirtipur,NULL,"April 21, 2021, noon",https://merojob.com/english-computer-teachers-basic-level/
Principal (Basic Level School),NULL,Saptari,NULL,"April 21, 2021, noon",https://merojob.com/principal-basic-level-school/
इन्जिनियर,NULL,मध्यबानेश्वर,NULL,"April 9, 2021, noon",https://merojob.com/dsad/
अनुगमन अधिकृत,NULL,मध्यबानेश्वर,NULL,"April 9, 2021, noon",https://merojob.com/-3996/
प्रशासकीय अधिकृत,NULL,मध्यबानेश्वर,NULL,"April 9, 2021, noon",https://merojob.com/-3997/
प्रशासन सहायक,NULL,मध्यबानेश्वर,NULL,"April 9, 2021, noon",https://merojob.com/-3998/
प्राविधिक सहायक,NULL,मध्यबानेश्वर,NULL,"April 9, 2021, noon",https://merojob.com/-3999/
उप कार्यालय सहायक,NULL,मध्यबानेश्वर,NULL,"April 9, 2021, noon",https://merojob.com/-4000/
विशेषज्ञ सदस्य,NULL,"सिंहदरवार, काठमाण्डौ",NULL,"April 9, 2021, noon",https://merojob.com/-3995/
वन प्रशिक्षक,NULL,"चौरजहारी, रुकुम पश्चिम",NULL,"April 3, 2021, noon",https://merojob.com/-3994/
Assistant Manager/Deputy Manage…,NULL,"Birtamod Branch, Bhairahawa Branch",NULL,"April 3, 2021, noon",https://merojob.com/assistant-managerdeputy-managermanager-few/
Digital Business/ Digital Partn…,NULL,All Provinces,NULL,"April 1, 2021, noon",https://merojob.com/digital-business-digital-partnership-information-technology-business-intelligence-few/
Deputy Chief Executive Officer,NULL,NULL,NULL,"April 1, 2021, noon",https://merojob.com/deputy-chief-executive-officer-22/
Country Director,NULL,Nepal,NULL,"April 11, 2021, noon",https://merojob.com/country-director-25/
अधिकृत,NULL,NULL,NULL,"March 31, 2021, noon",https://merojob.com/-3977/
सहायक अधिकृत (बैंकिङ् व्यवसाय),NULL,NULL,NULL,"March 31, 2021, noon",https://merojob.com/-3978/
सहायक अधिकृत (सूचना प्रविधि),NULL,NULL,NULL,"March 31, 2021, noon",https://merojob.com/-3979/
वरिष्ठ सहायक,NULL,NULL,NULL,"March 31, 2021, noon",https://merojob.com/-3980/
कनिष्ठ सहायक (बैंकिङ् व्यवसाय),NULL,NULL,NULL,"March 31, 2021, noon",https://merojob.com/-3981/
कनिष्ठ सहायक (सूचना प्रविधि),NULL,NULL,NULL,"March 31, 2021, noon",https://merojob.com/-3982/
प्रमुख कार्यकारी अधिकृत,NULL,"सिंहदरवार, काठमाडौं",NULL,"March 31, 2021, noon",https://merojob.com/-3976/
Jr. Officer,NULL,"Kathmandu Valley, Pokhara Region, Narayangarh Region, Nepal…",NULL,"March 30, 2021, 5 p.m.",https://merojob.com/jr-officer-10/
Assistant/ Sr. Assistant/ Super…,NULL,"Kathmandu Valley, Pokhara Region, Narayangarh Region, Nepal…",NULL,"March 30, 2021, 5 p.m.",https://merojob.com/assistant-sr-assistant-supervisor-jr-officer-few/
Associate Professor,NULL,"Dhapakhel, Lalitpur",NULL,"April 2, 2021, noon",https://merojob.com/associate-professor-31/
Junior Associate Professor,NULL,"Dhapakhel, Lalitpur",NULL,"April 2, 2021, noon",https://merojob.com/junior-associate-professor-4/
Senior Lecturer,NULL,"Dhapakhel, Lalitpur",NULL,"April 2, 2021, noon",https://merojob.com/senior-lecturer-5/
Lecturer,NULL,"Dhapakhel, Lalitpur",NULL,"April 2, 2021, noon",https://merojob.com/lecturer-135/
Teaching Assistant,NULL,"Dhapakhel, Lalitpur",NULL,"April 2, 2021, noon",https://merojob.com/teaching-assistant-13/
System Administrator,NULL,"Dhapakhel, Lalitpur",NULL,"April 2, 2021, noon",https://merojob.com/system-administrator-62/
Library Incharge,NULL,"Dhapakhel, Lalitpur",NULL,"April 2, 2021, noon",https://merojob.com/library-incharge-4/
प्रवाधिक सहायक,NULL,"फेटा, बारा",NULL,"April 12, 2021, noon",https://merojob.com/-3927/
रोजगार संयोजक,NULL,"फेटा, बारा",NULL,"April 12, 2021, noon",https://merojob.com/-3926/
का.स.,NULL,"फेटा, बारा",NULL,"April 12, 2021, noon",https://merojob.com/-3931/
अ.न.मी,NULL,"फेटा, बारा",NULL,"April 12, 2021, noon",https://merojob.com/-3929/
अ.हे.व,NULL,"फेटा, बारा",NULL,"April 12, 2021, noon",https://merojob.com/-3928/
इलेक्ट्रिसियन,NULL,"फेटा, बारा",NULL,"April 12, 2021, noon",https://merojob.com/-3930/
इलेक्ट्रिसियन हेल्पर,NULL,"फेटा, बारा",NULL,"April 12, 2021, noon",https://merojob.com/-3932/
